,Z,name,isotopes,mass_number,mass,abundance,atomic_mass,symbol
0,,,,,"G. Audi, A. H. Wapstra Nucl. Phys A. 1993, 565, 1-65.",,,
1,,,,,"G. Audi, A. H. Wapstra Nucl. Phys A. 1995, 595, 409-480.",,,
2,,,,,,"K.J.R. Rosman, P.D.P. Taylor Pure Appl. Chem. 1999, 71, 1593-1607. (1997 report of the IUPAC Subcommittee for Isotopic Abundance Measurements)",,
3,,,,,,,Agilent (https://www.agilent.com/cs/library/flyers/public/5989-8540EN.pdf),
225,,,164Dy,164,163.929171,28.18,162.5,Dy
226,67,Holmium,165Ho,165,164.930319,100,164.9,Ho
227,68,Erbium,162Er,162,161.928775,0.14,167.3,Er
228,,,164Er,164,163.929197,1.61,167.3,Er
229,,,166Er,166,165.93029,33.61,167.3,Er
230,,,167Er,167,166.932045,22.93,167.3,Er
231,,,168Er,168,167.932368,26.78,167.3,Er
232,,,170Er,170,169.93546,14.93,167.3,Er
233,69,Thulium,169Tm,169,168.934211,100,168.9,Tm
234,70,Ytterbium,168Yb,168,167.933894,0.13,173,Yb
235,,,170Yb,170,169.934759,3.04,173,Yb
236,,,171Yb,171,170.936322,14.28,173,Yb
237,,,172Yb,172,171.936378,21.83,173,Yb
238,,,173Yb,173,172.938207,16.13,173,Yb
239,,,174Yb,174,173.938858,31.83,173,Yb
240,,,176Yb,176,175.942568,12.76,173,Yb
241,71,Lutetium,175Lu,175,174.940768,97.41,175,Lu
242,,,176Lu,176,175.942682,2.59,175,Lu
243,72,Hafnium,174Hf,174,173.94004,0.16,178.5,Hf
244,,,176Hf,176,175.941402,5.26,178.5,Hf
245,,,177Hf,177,176.94322,18.6,178.5,Hf
246,,,178Hf,178,177.943698,27.28,178.5,Hf
247,,,179Hf,179,178.945815,13.62,178.5,Hf
248,,,180Hf,180,179.946549,35.08,178.5,Hf
249,73,Tantalum,180Ta,180,179.947466,0.012,180.9,Ta
250,,,181Ta,181,180.947996,99.988,180.9,Ta
251,74,Tungsten,180W,180,179.946706,0.12,183.8,W
252,,,182W,182,181.948206,26.5,183.8,W
253,,,183W,183,182.950224,14.31,183.8,W
254,,,184W,184,183.950933,30.64,183.8,W
255,,,186W,186,185.954362,28.43,183.8,W
256,75,Rhenium,185Re,185,184.952956,37.4,186.2,Re
257,,,187Re,187,186.955751,62.6,186.2,Re
258,76,Osmium,184Os,184,183.952491,0.02,190.2,Os
259,,,186Os,186,185.953838,1.59,190.2,Os
260,,,187Os,187,186.955748,1.96,190.2,Os
261,,,188Os,188,187.955836,13.24,190.2,Os
262,,,189Os,189,188.958145,16.15,190.2,Os
263,,,190Os,190,189.958445,26.26,190.2,Os
264,,,192Os,192,191.961479,40.78,190.2,Os
265,77,Iridium,191Ir,191,190.960591,37.3,192.2,Ir
266,,,193Ir,193,192.962924,62.7,192.2,Ir
267,78,Platinum,190Pt,190,189.95993,0.014,195.1,Pt
268,,,192Pt,192,191.961035,0.782,195.1,Pt
269,,,194Pt,194,193.962664,32.967,195.1,Pt
270,,,195Pt,195,194.964774,33.832,195.1,Pt
271,,,196Pt,196,195.964935,25.242,195.1,Pt
272,,,198Pt,198,197.967876,7.163,195.1,Pt
273,79,Gold,197Au,197,196.966552,100,197,Au
274,80,Mercury,196Hg,196,195.965815,0.15,200.6,Hg
275,,,198Hg,198,197.966752,9.97,200.6,Hg
276,,,199Hg,199,198.968262,16.87,200.6,Hg
277,,,200Hg,200,199.968309,23.1,200.6,Hg
278,,,201Hg,201,200.970285,13.18,200.6,Hg
279,,,202Hg,202,201.970626,29.86,200.6,Hg
280,,,204Hg,204,203.973476,6.87,200.6,Hg
281,81,Thallium,203Tl,203,202.972329,29.524,204.4,Tl
282,,,205Tl,205,204.974412,70.476,204.4,Tl
283,82,Lead,204Pb,204,203.973029,1.4,207.2,Pb
284,,,206Pb,206,205.974449,24.1,207.2,Pb
285,,,207Pb,207,206.975881,22.1,207.2,Pb
286,,,208Pb,208,207.976636,52.4,207.2,Pb
287,83,Bismuth,209Bi,209,208.980383,100,209,Bi
288,90,Thorium,232Th,232,232.03805,100,232,Th
289,91,Protactinium,231Pa,231,231.035879,100,231,Pa
290,92,Uranium,234U,234,234.040946,0.0055,238,U
291,,,235U,235,235.043923,0.72,238,U
292,,,238U,238,238.050783,99.2745,238,U
